"audience_group","respondent_id","stimulus_file","condition","target_v","target_a","perceived_v","perceived_a","alignment_distance","repetitions"
"Generic-listener control","generic","B01_run0_nonopt.wav","non_optimised",0.075,0.08,0.5,1,1.01342241932967,3
"Generic-listener control","generic","B01_run0_opt.wav","optimised",0.075,0.08,1,1,1.30461680197673,3
"Generic-listener control","generic","B01_run1_nonopt.wav","non_optimised",0.075,0.08,0.5,1,1.01342241932967,3
"Generic-listener control","generic","B01_run1_opt.wav","optimised",0.075,0.08,0.833333333333333,1,1.20755200776105,3
"Generic-listener control","generic","B01_run2_nonopt.wav","non_optimised",0.075,0.08,0.5,1,1.01342241932967,3
"Generic-listener control","generic","B01_run2_opt.wav","optimised",0.075,0.08,1,1,1.30461680197673,3
"Generic-listener control","generic","B02_run0_nonopt.wav","non_optimised",0.102,0.056,0.5,1,1.02447059499041,3
"Generic-listener control","generic","B02_run0_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"Generic-listener control","generic","B02_run1_nonopt.wav","non_optimised",0.102,0.056,0.5,1,1.02447059499041,3
"Generic-listener control","generic","B02_run1_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"Generic-listener control","generic","B02_run2_nonopt.wav","non_optimised",0.102,0.056,0.5,1,1.02447059499041,3
"Generic-listener control","generic","B02_run2_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"Generic-listener control","generic","B03_run0_nonopt.wav","non_optimised",0.061,0.099,0,0,0.116284134773408,3
"Generic-listener control","generic","B03_run0_opt.wav","optimised",0.061,0.099,0,0,0.116284134773408,3
"Generic-listener control","generic","B03_run1_nonopt.wav","non_optimised",0.061,0.099,0,0,0.116284134773408,3
"Generic-listener control","generic","B03_run1_opt.wav","optimised",0.061,0.099,0,0,0.116284134773408,3
"Generic-listener control","generic","B03_run2_nonopt.wav","non_optimised",0.061,0.099,0,0,0.116284134773408,3
"Generic-listener control","generic","B03_run2_opt.wav","optimised",0.061,0.099,0,0,0.116284134773408,3
"Generic-listener control","generic","B04_run0_nonopt.wav","non_optimised",0.089,0.074,1,1,1.29899846035321,3
"Generic-listener control","generic","B04_run0_opt.wav","optimised",0.089,0.074,1,1,1.29899846035321,3
"Generic-listener control","generic","B04_run1_nonopt.wav","non_optimised",0.089,0.074,0.5,1,1.01311253076842,3
"Generic-listener control","generic","B04_run1_opt.wav","optimised",0.089,0.074,1,1,1.29899846035321,3
"Generic-listener control","generic","B04_run2_nonopt.wav","non_optimised",0.089,0.074,0.5,1,1.01311253076842,3
"Generic-listener control","generic","B04_run2_opt.wav","optimised",0.089,0.074,1,1,1.29899846035321,3
"Generic-listener control","generic","B05_run0_nonopt.wav","non_optimised",-0.098,0.08,0.5,0.666666666666667,0.852927568987839,3
"Generic-listener control","generic","B05_run0_opt.wav","optimised",-0.098,0.08,0.5,1,1.09727116065264,3
"Generic-listener control","generic","B05_run1_nonopt.wav","non_optimised",-0.098,0.08,0.5,1,1.09727116065264,3
"Generic-listener control","generic","B05_run1_opt.wav","optimised",-0.098,0.08,0.333333333333333,1,1.03991572116297,3
"Generic-listener control","generic","B05_run2_nonopt.wav","non_optimised",-0.098,0.08,0.5,1,1.09727116065264,3
"Generic-listener control","generic","B05_run2_opt.wav","optimised",-0.098,0.08,0.5,1,1.09727116065264,3
