"audience_group","condition","measure","n","mean","median","mean_median_difference","absolute_mean_median_difference","sd","q1","q3","iqr","lower_outlier_fence","upper_outlier_fence","skewness","absolute_skewness","outlier_count","distribution_shape","descriptive_recommendation"
"Generic-listener control","non_optimised","Alignment distance",48,0.966106954173398,1.04800600404792,-0.0818990498745256,0.0818990498745256,0.382638029340111,0.900450140372313,1.21094606600065,0.310495925628341,0.4347062519298,1.67668995444317,-1.20498997182492,1.20498997182492,8,"Strongly skewed","Emphasise median and IQR; also report mean for comparability"
"Generic-listener control","non_optimised","Perceived arousal",48,0.78125,1,-0.21875,0.21875,0.38154261045574,0.625,1,0.375,0.0625,1.5625,-1.41866942256091,1.41866942256091,8,"Strongly skewed","Emphasise median and IQR; also report mean for comparability"
"Generic-listener control","non_optimised","Perceived valence",48,0.395833333333333,0.5,-0.104166666666667,0.104166666666667,0.237264254031522,0.416666666666667,0.5,0.0833333333333333,0.291666666666667,0.625,-0.659405143294329,0.659405143294329,15,"Moderately skewed","Report mean and median; interpret the mean cautiously"
"Generic-listener control","optimised","Alignment distance",48,1.0715545040167,1.26299722881723,-0.191442724800525,0.191442724800525,0.427051582298892,0.981691497997011,1.30332677992936,0.321635281932351,0.499238575098485,1.78577970282789,-1.34245794223098,1.34245794223098,7,"Strongly skewed","Emphasise median and IQR; also report mean for comparability"
"Generic-listener control","optimised","Perceived arousal",48,0.805555555555556,1,-0.194444444444444,0.194444444444444,0.369225970347267,0.958333333333333,1,0.0416666666666666,0.895833333333333,1.0625,-1.58141314245824,1.58141314245824,12,"Strongly skewed","Emphasise median and IQR; also report mean for comparability"
"Generic-listener control","optimised","Perceived valence",48,0.534722222222222,0.5,0.0347222222222222,0.0347222222222222,0.387387340953023,0.125,1,0.875,-1.1875,2.3125,-0.125765118113469,0.125765118113469,0,"Approximately symmetrical","Mean and SD are appropriate primary summaries"
"Neutral control","non_optimised","Alignment distance",48,1.16412388087675,1.28065180246702,-0.116527921590265,0.116527921590265,0.377651830062314,1.02232190149539,1.37365544402994,0.351333542534555,0.495321587693555,1.90065575783177,-1.50925936305894,1.50925936305894,4,"Strongly skewed","Emphasise median and IQR; also report mean for comparability"
"Neutral control","non_optimised","Perceived arousal",48,0.829861111111111,1,-0.170138888888889,0.170138888888889,0.292720150796673,0.833333333333333,1,0.166666666666667,0.583333333333333,1.25,-1.86024792157659,1.86024792157659,8,"Strongly skewed","Emphasise median and IQR; also report mean for comparability"
"Neutral control","non_optimised","Perceived valence",48,0.680555555555556,0.833333333333333,-0.152777777777778,0.152777777777778,0.30910787006304,0.5,1,0.5,-0.25,1.75,-0.774146531914862,0.774146531914862,0,"Moderately skewed","Report mean and median because moderate skewness is present"
"Neutral control","optimised","Alignment distance",48,1.13881212223693,1.30289677258024,-0.164084650343306,0.164084650343306,0.447703904778917,1.06862477317305,1.42944532959147,0.360820556418426,0.52739393854541,1.97067616421911,-1.43991080876572,1.43991080876572,7,"Strongly skewed","Emphasise median and IQR; also report mean for comparability"
"Neutral control","optimised","Perceived arousal",48,0.788194444444444,1,-0.211805555555556,0.211805555555556,0.35520377285745,0.666666666666667,1,0.333333333333333,0.166666666666667,1.5,-1.5013139385892,1.5013139385892,6,"Strongly skewed","Emphasise median and IQR; also report mean for comparability"
"Neutral control","optimised","Perceived valence",48,0.6875,0.833333333333333,-0.145833333333333,0.145833333333333,0.377601300735028,0.5,1,0.5,-0.25,1.75,-0.883083505974525,0.883083505974525,0,"Moderately skewed","Report mean and median because moderate skewness is present"
"OCEAN audience","non_optimised","Alignment distance",48,0.714395365324526,0.753522935004336,-0.0391275696798098,0.0391275696798098,0.243116386632696,0.559786358658147,0.903651408913274,0.343865050255127,0.0439887832754572,1.41944898429596,-0.543788622297222,0.543788622297222,0,"Moderately skewed","Report mean and median because moderate skewness is present"
"OCEAN audience","non_optimised","Perceived arousal",48,0.454861111111111,0.520833333333333,-0.0659722222222223,0.0659722222222223,0.198877651724861,0.407552083333333,0.58984375,0.182291666666667,0.134114583333333,0.86328125,-0.828323169744739,0.828323169744739,7,"Moderately skewed","Report mean and median; interpret the mean cautiously"
"OCEAN audience","non_optimised","Perceived valence",48,0.383355034722222,0.481770833333333,-0.0984157986111111,0.0984157986111111,0.202680511307399,0.147786458333333,0.52734375,0.379557291666667,-0.421549479166667,1.0966796875,-0.642078597037834,0.642078597037834,0,"Moderately skewed","Report mean and median because moderate skewness is present"
"OCEAN audience","optimised","Alignment distance",48,0.783671898410411,0.833897827192196,-0.0502259287817843,0.0502259287817843,0.309676889560554,0.545155085453566,1.003066927921,0.45791184246743,-0.141712678247578,1.68993469162214,-0.354823049268787,0.354823049268787,0,"Approximately symmetrical","Mean and SD are appropriate primary summaries"
"OCEAN audience","optimised","Perceived arousal",48,0.509874131944444,0.552083333333333,-0.0422092013888888,0.0422092013888888,0.273729400475203,0.302083333333333,0.75,0.447916666666667,-0.369791666666667,1.421875,-0.413144145479173,0.413144145479173,0,"Approximately symmetrical","Mean and SD are appropriate primary summaries"
"OCEAN audience","optimised","Perceived valence",48,0.429307725694444,0.518229166666667,-0.0889214409722223,0.0889214409722223,0.273009464024236,0.100911458333333,0.66796875,0.567057291666667,-0.749674479166667,1.5185546875,-0.525291222466466,0.525291222466466,0,"Moderately skewed","Report mean and median because moderate skewness is present"
