"audience_group","stimulus_file","condition","target_v","target_a","persona_sd_v","persona_sd_a","perceived_v","perceived_a","alignment_distance","respondents"
"Generic-listener control","B01_run0_nonopt.wav","non_optimised",0.172,0.175,NA,NA,0.166666666666667,0.583333333333333,0.449391083425387,1
"Generic-listener control","B01_run0_opt.wav","optimised",0.172,0.175,NA,NA,0.166666666666667,0.666666666666667,0.509413466911837,1
"Generic-listener control","B01_run1_nonopt.wav","non_optimised",0.172,0.175,NA,NA,0.166666666666667,0.416666666666667,0.285366180271358,1
"Generic-listener control","B01_run1_opt.wav","optimised",0.172,0.175,NA,NA,0.166666666666667,0.333333333333333,0.304611049915513,1
"Generic-listener control","B01_run2_nonopt.wav","non_optimised",0.172,0.175,NA,NA,0,0.5,0.367707764399938,1
"Generic-listener control","B01_run2_opt.wav","optimised",0.172,0.175,NA,NA,0,0.5,0.367707764399938,1
"Generic-listener control","B02_run0_nonopt.wav","non_optimised",0.234,0.121,NA,NA,0.166666666666667,0.666666666666667,0.567941570276461,1
"Generic-listener control","B02_run0_opt.wav","optimised",0.234,0.121,NA,NA,-0.25,0.583333333333333,0.674375685918213,1
"Generic-listener control","B02_run1_nonopt.wav","non_optimised",0.234,0.121,NA,NA,0,0.583333333333333,0.520650599057488,1
"Generic-listener control","B02_run1_opt.wav","optimised",0.234,0.121,NA,NA,0.166666666666667,0.75,0.67505503848004,1
"Generic-listener control","B02_run2_nonopt.wav","non_optimised",0.234,0.121,NA,NA,0.166666666666667,0.75,0.64317438791969,1
"Generic-listener control","B02_run2_opt.wav","optimised",0.234,0.121,NA,NA,-0.166666666666667,0.666666666666667,0.677579598315393,1
"Generic-listener control","B03_run0_nonopt.wav","non_optimised",0.141,0.215,NA,NA,0,0.25,0.240120536575739,1
"Generic-listener control","B03_run0_opt.wav","optimised",0.141,0.215,NA,NA,0,0.333333333333333,0.297684754911274,1
"Generic-listener control","B03_run1_nonopt.wav","non_optimised",0.141,0.215,NA,NA,0,0.75,0.55326847009386,1
"Generic-listener control","B03_run1_opt.wav","optimised",0.141,0.215,NA,NA,0,0.75,0.55326847009386,1
"Generic-listener control","B03_run2_nonopt.wav","non_optimised",0.141,0.215,NA,NA,0.166666666666667,0.666666666666667,0.469984460560586,1
"Generic-listener control","B03_run2_opt.wav","optimised",0.141,0.215,NA,NA,0.166666666666667,0.75,0.548416718307317,1
"Generic-listener control","B04_run0_nonopt.wav","non_optimised",0.203,0.161,NA,NA,0,0.5,0.395132889038612,1
"Generic-listener control","B04_run0_opt.wav","optimised",0.203,0.161,NA,NA,0,0,0.259094577326504,1
"Generic-listener control","B04_run1_nonopt.wav","non_optimised",0.203,0.161,NA,NA,-0.0833333333333333,0.666666666666667,0.587062732785104,1
"Generic-listener control","B04_run1_opt.wav","optimised",0.203,0.161,NA,NA,0.25,0.666666666666667,0.548549656316282,1
"Generic-listener control","B04_run2_nonopt.wav","non_optimised",0.203,0.161,NA,NA,0.166666666666667,0.75,0.601581758597873,1
"Generic-listener control","B04_run2_opt.wav","optimised",0.203,0.161,NA,NA,-0.166666666666667,0.666666666666667,0.627080634178871,1
"Generic-listener control","B05_run0_nonopt.wav","non_optimised",-0.171,0.175,NA,NA,0,0.75,0.599888322940195,1
"Generic-listener control","B05_run0_opt.wav","optimised",-0.171,0.175,NA,NA,0,0.583333333333333,0.462167013905179,1
"Generic-listener control","B05_run1_nonopt.wav","non_optimised",-0.171,0.175,NA,NA,-0.0833333333333333,0.583333333333333,0.455671434628964,1
"Generic-listener control","B05_run1_opt.wav","optimised",-0.171,0.175,NA,NA,0,0.666666666666667,0.522339237040761,1
"Generic-listener control","B05_run2_nonopt.wav","non_optimised",-0.171,0.175,NA,NA,-0.25,0.75,0.58040158511155,1
"Generic-listener control","B05_run2_opt.wav","optimised",-0.171,0.175,NA,NA,-0.0833333333333333,0.333333333333333,0.337267091993582,1
"Generic-listener control","B06_run0_nonopt.wav","non_optimised",-0.233,0.121,NA,NA,0,0,0.262545234197843,1
"Generic-listener control","B06_run0_opt.wav","optimised",-0.233,0.121,NA,NA,-0.0833333333333333,0.166666666666667,0.301490514435287,1
"Generic-listener control","B06_run1_nonopt.wav","non_optimised",-0.233,0.121,NA,NA,0,0.166666666666667,0.323327904672533,1
"Generic-listener control","B06_run1_opt.wav","optimised",-0.233,0.121,NA,NA,0,0,0.262545234197843,1
"Generic-listener control","B06_run2_nonopt.wav","non_optimised",-0.233,0.121,NA,NA,0,0,0.262545234197843,1
"Generic-listener control","B06_run2_opt.wav","optimised",-0.233,0.121,NA,NA,0,0.5,0.444893245621913,1
"Generic-listener control","B07_run0_nonopt.wav","non_optimised",-0.14,0.215,NA,NA,0,0,0.25656383221335,1
"Generic-listener control","B07_run0_opt.wav","optimised",-0.14,0.215,NA,NA,0,0.75,0.553014466356894,1
"Generic-listener control","B07_run1_nonopt.wav","non_optimised",-0.14,0.215,NA,NA,0,0.5,0.317529526186149,1
"Generic-listener control","B07_run1_opt.wav","optimised",-0.14,0.215,NA,NA,0,0.333333333333333,0.297207628195216,1
"Generic-listener control","B07_run2_nonopt.wav","non_optimised",-0.14,0.215,NA,NA,-0.166666666666667,0.166666666666667,0.267853644378606,1
"Generic-listener control","B07_run2_opt.wav","optimised",-0.14,0.215,NA,NA,0,0,0.25656383221335,1
"Generic-listener control","B08_run0_nonopt.wav","non_optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Generic-listener control","B08_run0_opt.wav","optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Generic-listener control","B08_run1_nonopt.wav","non_optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Generic-listener control","B08_run1_opt.wav","optimised",-0.202,0.161,NA,NA,-0.166666666666667,-0.166666666666667,0.361966226836604,1
"Generic-listener control","B08_run2_nonopt.wav","non_optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Generic-listener control","B08_run2_opt.wav","optimised",-0.202,0.161,NA,NA,-0.166666666666667,0.0833333333333333,0.175811181768896,1
"Generic-listener control","B09_run0_nonopt.wav","non_optimised",-0.171,-0.267,NA,NA,-0.166666666666667,0,0.291316283737437,1
"Generic-listener control","B09_run0_opt.wav","optimised",-0.171,-0.267,NA,NA,-0.25,0,0.278442094518771,1
"Generic-listener control","B09_run1_nonopt.wav","non_optimised",-0.171,-0.267,NA,NA,-0.0833333333333333,0,0.304190472956102,1
"Generic-listener control","B09_run1_opt.wav","optimised",-0.171,-0.267,NA,NA,0,0,0.317064662174768,1
"Generic-listener control","B09_run2_nonopt.wav","non_optimised",-0.171,-0.267,NA,NA,-0.166666666666667,0,0.291316283737437,1
"Generic-listener control","B09_run2_opt.wav","optimised",-0.171,-0.267,NA,NA,-0.166666666666667,-0.0833333333333333,0.225438390698962,1
"Generic-listener control","B10_run0_nonopt.wav","non_optimised",-0.233,-0.17,NA,NA,-0.0833333333333333,0,0.249232650911409,1
"Generic-listener control","B10_run0_opt.wav","optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Generic-listener control","B10_run1_nonopt.wav","non_optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Generic-listener control","B10_run1_opt.wav","optimised",-0.233,-0.17,NA,NA,-0.166666666666667,0.166666666666667,0.376370949075306,1
"Generic-listener control","B10_run2_nonopt.wav","non_optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Generic-listener control","B10_run2_opt.wav","optimised",-0.233,-0.17,NA,NA,-0.25,0.25,0.420343906819166,1
"Generic-listener control","B11_run0_nonopt.wav","non_optimised",-0.124,-0.365,NA,NA,-0.0833333333333333,0,0.385703997074537,1
"Generic-listener control","B11_run0_opt.wav","optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Generic-listener control","B11_run1_nonopt.wav","non_optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Generic-listener control","B11_run1_opt.wav","optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Generic-listener control","B11_run2_nonopt.wav","non_optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Generic-listener control","B11_run2_opt.wav","optimised",-0.124,-0.365,NA,NA,-0.0833333333333333,-0.0833333333333333,0.313855385644575,1
"Generic-listener control","B12_run0_nonopt.wav","non_optimised",-0.187,-0.292,NA,NA,-0.0833333333333333,-0.0833333333333333,0.256403062231633,1
"Generic-listener control","B12_run0_opt.wav","optimised",-0.187,-0.292,NA,NA,-0.25,-0.166666666666667,0.150050695002797,1
"Generic-listener control","B12_run1_nonopt.wav","non_optimised",-0.187,-0.292,NA,NA,-0.25,-0.166666666666667,0.150050695002797,1
"Generic-listener control","B12_run1_opt.wav","optimised",-0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Generic-listener control","B12_run2_nonopt.wav","non_optimised",-0.187,-0.292,NA,NA,-0.25,-0.166666666666667,0.150050695002797,1
"Generic-listener control","B12_run2_opt.wav","optimised",-0.187,-0.292,NA,NA,-0.25,-0.25,0.0757165767847438,1
