"brief","nonopt_B_dist","opt_B_dist","reduction"
"B01",0.438266666666667,0.386466666666667,0.0518
"B02",0.342466666666667,0.2891,0.0533666666666666
"B03",0.3927,0.3927,0
"B04",0.365433333333333,0.254466666666667,0.110966666666667
"B05",0.378033333333333,0.179633333333333,0.1984
"B06",0.5059,0.6105,-0.1046
"B07",0.420133333333333,0.434766666666667,-0.0146333333333333
"B08",0.384133333333333,0.398,-0.0138666666666667
"B09",0.3678,0.499833333333333,-0.132033333333333
"B10",0.803533333333333,0.4672,0.336333333333333
"B11",0.389933333333333,0.451966666666667,-0.0620333333333333
"B12",0.2498,0.2498,0
"B13",0.455933333333333,0.232666666666667,0.223266666666667
"B14",0.372833333333333,0.282966666666667,0.0898666666666667
"B15",0.451633333333333,0.220266666666667,0.231366666666667
"B16",0.203233333333333,0.158133333333333,0.0451
