"","happy","tense","calm","sad","excited","afraid","content","bored","relaxed","angry"
"P01",3.11111111111111,2.67013888888889,1.82638888888889,2.96875,4.11111111111111,1.41319444444444,3.27777777777778,1.52083333333333,1.98611111111111,1.42361111111111
"P02",3.73263888888889,2.25694444444444,1.51388888888889,2.13541666666667,4.52777777777778,1.28472222222222,3.70486111111111,1.20138888888889,2.25694444444444,1.25347222222222
"P03",2.52777777777778,3.21180555555556,1.44791666666667,3.31944444444444,4.09375,1.48611111111111,2.52083333333333,2.38194444444444,1.4375,2.06944444444444
"P04",3.51388888888889,2.50694444444444,1.22916666666667,2.13888888888889,4.69444444444444,1.14236111111111,3.30555555555556,2.09027777777778,1.27430555555556,1.24305555555556
"P05",2.57638888888889,2.89930555555556,2.30902777777778,3.67708333333333,3.25,1.55555555555556,3.19444444444444,2.03125,2.46527777777778,1.5625
"P06",3.56597222222222,2.31597222222222,2.01736111111111,2.25694444444444,3.85416666666667,1.37152777777778,3.68402777777778,1.75347222222222,2.89930555555556,1.37152777777778
"P07",2.10763888888889,3.22222222222222,1.98611111111111,3.52777777777778,3.12152777777778,1.68055555555556,2.54166666666667,2.73611111111111,1.97916666666667,1.73611111111111
"P08",2.96527777777778,2.65625,2.04513888888889,2.42361111111111,3.52430555555556,1.3125,3.17708333333333,2.20833333333333,2.04861111111111,1.37847222222222
"P09",2.92708333333333,2.86805555555556,1.78819444444444,3.3125,3.97569444444444,1.44097222222222,2.99652777777778,1.9375,1.84027777777778,1.57291666666667
"P10",3.79861111111111,2.20138888888889,1.49652777777778,2.12847222222222,4.48263888888889,1.32291666666667,3.60763888888889,1.68055555555556,2.56944444444444,1.30902777777778
"P11",2.73958333333333,3.16319444444444,1.47569444444444,3.30555555555556,4.19097222222222,1.50347222222222,2.63541666666667,2.40625,1.47222222222222,2.08680555555556
"P12",3.55208333333333,2.46875,1.26736111111111,2.14236111111111,4.65277777777778,1.19791666666667,3.29166666666667,2.09375,1.26736111111111,1.27777777777778
"P13",2.58680555555556,2.94791666666667,2.21180555555556,3.85069444444444,3.125,1.64236111111111,3.09722222222222,2.14583333333333,2.35069444444444,1.59722222222222
"P14",3.46527777777778,2.35416666666667,2.08333333333333,2.33333333333333,3.77430555555556,1.36805555555556,3.75694444444444,1.98611111111111,2.875,1.36805555555556
"P15",2.24652777777778,3.19444444444444,1.90972222222222,3.71180555555556,3.0625,1.75694444444444,2.61111111111111,2.73611111111111,1.90625,1.69444444444444
"P16",2.98958333333333,2.69097222222222,2.05555555555556,2.44791666666667,3.44791666666667,1.35763888888889,3.12847222222222,2.28472222222222,2.05555555555556,1.4375
"P17",2.19097222222222,3.06944444444444,1.88541666666667,3.77083333333333,3.55902777777778,1.21875,2.89236111111111,2.30902777777778,1.87847222222222,1.57638888888889
"P18",3.70486111111111,2.22222222222222,1.52083333333333,2.14930555555556,4.35763888888889,1.21527777777778,4.05555555555556,2.06944444444444,2.05902777777778,1.22569444444444
"P19",2.12152777777778,3.27430555555556,1.51388888888889,3.55208333333333,3.70138888888889,1.37847222222222,2.31597222222222,2.79861111111111,1.50347222222222,2.27083333333333
"P20",3.29513888888889,2.5,1.38888888888889,2.17708333333333,4.29861111111111,1.09722222222222,3.51388888888889,2.41319444444444,1.38888888888889,1.36805555555556
"P21",1.99652777777778,3.06944444444444,2.36805555555556,3.9375,2.50694444444444,1.36111111111111,3.09375,2.625,2.48958333333333,1.36458333333333
"P22",3.24305555555556,2.41666666666667,2.40625,2.375,3.53472222222222,1.29166666666667,3.89236111111111,2.21180555555556,3.04513888888889,1.34027777777778
"P23",1.80555555555556,3.26041666666667,2.05902777777778,3.77777777777778,2.61805555555556,1.52083333333333,2.47569444444444,3.13541666666667,2.03819444444444,1.62152777777778
"P24",2.41666666666667,2.78125,2.32638888888889,2.37152777777778,2.90972222222222,1.11805555555556,3.17013888888889,3.05208333333333,2.31944444444444,1.36805555555556
"P25",2.49305555555556,2.96527777777778,1.76041666666667,3.59722222222222,3.65277777777778,1.3125,2.82986111111111,2.47569444444444,1.75694444444444,1.63194444444444
"P26",3.69444444444444,2.17708333333333,1.51041666666667,2.08680555555556,4.25,1.18402777777778,3.85763888888889,2.19097222222222,1.87152777777778,1.20486111111111
"P27",2.28125,3.13541666666667,1.4375,3.56944444444444,3.71527777777778,1.36458333333333,2.33680555555556,2.92013888888889,1.42708333333333,2.15972222222222
"P28",2.89236111111111,2.73263888888889,1.38541666666667,2.17361111111111,4.23611111111111,1.04166666666667,3.04861111111111,2.55555555555556,1.38541666666667,1.49652777777778
"P29",2.125,2.95833333333333,2.30555555555556,3.92361111111111,2.53125,1.30902777777778,3.13541666666667,2.73611111111111,2.36458333333333,1.29513888888889
"P30",2.77430555555556,2.49652777777778,2.82291666666667,2.47916666666667,2.98263888888889,1.17708333333333,3.74305555555556,2.47222222222222,3.32291666666667,1.21527777777778
"P31",1.84722222222222,3.19444444444444,1.98263888888889,3.65972222222222,2.57638888888889,1.59027777777778,2.35763888888889,3.45833333333333,1.96875,1.71875
"P32",2.21527777777778,2.78472222222222,2.32986111111111,2.36805555555556,2.66666666666667,1.06944444444444,2.99652777777778,3.41319444444444,2.30902777777778,1.40277777777778
