"","happy","tense","calm","sad","excited","afraid","content","bored","relaxed","angry"
"P01",2.25,4.33333333333333,1.88888888888889,3.33333333333333,4.77777777777778,1.88888888888889,3.02777777777778,1.94444444444444,2.5,1.88888888888889
"P02",2.75,3.69444444444444,1.94444444444444,2.22222222222222,4.86111111111111,1.69444444444444,3.25,1.77777777777778,2.83333333333333,1.72222222222222
"P03",1.88888888888889,4.63888888888889,1.69444444444444,3.5,4.80555555555556,1.88888888888889,2.44444444444444,2.36111111111111,1.88888888888889,2.25
"P04",2.30555555555556,4.11111111111111,1.77777777777778,2.22222222222222,4.88888888888889,1.66666666666667,2.72222222222222,2.13888888888889,2.08333333333333,1.69444444444444
"P05",2,4.30555555555556,2.11111111111111,3.66666666666667,4.08333333333333,1.91666666666667,2.94444444444444,2.08333333333333,2.86111111111111,1.88888888888889
"P06",2.47222222222222,3.72222222222222,2.27777777777778,2.41666666666667,4.25,1.83333333333333,3.25,1.94444444444444,3.05555555555556,1.83333333333333
"P07",1.80555555555556,4.72222222222222,1.69444444444444,3.77777777777778,4.69444444444444,1.86111111111111,2.36111111111111,2.44444444444444,1.91666666666667,1.88888888888889
"P08",2.11111111111111,4.27777777777778,1.91666666666667,2.52777777777778,4.5,1.83333333333333,2.61111111111111,2.38888888888889,2.19444444444444,1.83333333333333
"P09",2.19444444444444,4.25,1.88888888888889,3.44444444444444,4.72222222222222,1.83333333333333,2.91666666666667,2,2.47222222222222,1.86111111111111
"P10",2.80555555555556,3.61111111111111,1.83333333333333,2.13888888888889,4.83333333333333,1.69444444444444,3.13888888888889,1.91666666666667,2.5,1.63888888888889
"P11",2,4.44444444444444,1.63888888888889,3.41666666666667,4.77777777777778,1.72222222222222,2.33333333333333,2.38888888888889,1.77777777777778,1.97222222222222
"P12",2.41666666666667,4.02777777777778,1.88888888888889,2.44444444444444,4.83333333333333,1.75,2.69444444444444,2.19444444444444,2.27777777777778,1.80555555555556
"P13",2.08333333333333,4.33333333333333,2.02777777777778,3.77777777777778,4,1.94444444444444,2.91666666666667,2.16666666666667,2.80555555555556,1.94444444444444
"P14",2.52777777777778,3.72222222222222,2.13888888888889,2.33333333333333,4.33333333333333,1.75,3.13888888888889,2.08333333333333,2.83333333333333,1.75
"P15",1.72222222222222,4.61111111111111,1.72222222222222,3.75,4.72222222222222,1.80555555555556,2.27777777777778,2.52777777777778,1.86111111111111,1.80555555555556
"P16",2.19444444444444,4.05555555555556,1.91666666666667,2.41666666666667,4.33333333333333,1.80555555555556,2.72222222222222,2.27777777777778,2.19444444444444,1.80555555555556
"P17",1.88888888888889,4.5,1.91666666666667,3.97222222222222,4.72222222222222,1.86111111111111,2.80555555555556,2.13888888888889,2.47222222222222,1.86111111111111
"P18",2.36111111111111,3.75,2.08333333333333,2.19444444444444,4.61111111111111,1.55555555555556,3.22222222222222,1.77777777777778,3,1.55555555555556
"P19",1.66666666666667,4.83333333333333,1.63888888888889,3.91666666666667,4.83333333333333,1.72222222222222,2.13888888888889,2.66666666666667,1.66666666666667,2.55555555555556
"P20",2.11111111111111,4.05555555555556,1.86111111111111,2.27777777777778,4.61111111111111,1.63888888888889,2.63888888888889,2.25,2.27777777777778,1.69444444444444
"P21",1.72222222222222,4.41666666666667,2,4,3.30555555555556,1.69444444444444,2.69444444444444,2.52777777777778,2.61111111111111,1.69444444444444
"P22",2.13888888888889,3.77777777777778,2.47222222222222,2.22222222222222,3.80555555555556,1.52777777777778,3.16666666666667,2,3.41666666666667,1.52777777777778
"P23",1.61111111111111,4.72222222222222,1.61111111111111,4,4.25,1.61111111111111,2.05555555555556,2.88888888888889,1.66666666666667,1.61111111111111
"P24",1.97222222222222,4.05555555555556,2.13888888888889,2.41666666666667,4.11111111111111,1.77777777777778,2.86111111111111,2.41666666666667,2.66666666666667,1.77777777777778
"P25",1.91666666666667,4.27777777777778,1.94444444444444,3.97222222222222,4.63888888888889,1.91666666666667,2.75,2.41666666666667,2.13888888888889,1.91666666666667
"P26",2.58333333333333,3.58333333333333,2.05555555555556,2.13888888888889,4.55555555555556,1.47222222222222,3.22222222222222,1.97222222222222,2.91666666666667,1.55555555555556
"P27",1.66666666666667,4.66666666666667,1.55555555555556,3.91666666666667,4.69444444444444,1.61111111111111,2,2.97222222222222,1.55555555555556,2.16666666666667
"P28",1.97222222222222,4.08333333333333,1.91666666666667,2.30555555555556,4.69444444444444,1.55555555555556,2.36111111111111,2.66666666666667,2.16666666666667,1.66666666666667
"P29",1.83333333333333,4.13888888888889,2.08333333333333,4.02777777777778,3.47222222222222,1.83333333333333,2.75,2.52777777777778,2.72222222222222,1.83333333333333
"P30",2.22222222222222,3.61111111111111,2.47222222222222,2.08333333333333,3.72222222222222,1.38888888888889,3.08333333333333,2.02777777777778,3.44444444444444,1.38888888888889
"P31",1.61111111111111,4.55555555555556,1.63888888888889,3.94444444444444,4.47222222222222,1.63888888888889,1.91666666666667,3.08333333333333,1.66666666666667,1.66666666666667
"P32",1.88888888888889,4.08333333333333,2.05555555555556,2.5,4.11111111111111,1.72222222222222,2.5,2.91666666666667,2.52777777777778,1.75
