"","happy","tense","calm","sad","excited","afraid","content","bored","relaxed","angry"
"P01",3.58333333333333,2.375,1.48611111111111,2.55555555555556,4.40277777777778,1.31944444444444,3.36111111111111,1.34722222222222,1.625,1.27777777777778
"P02",3.94444444444444,2.02777777777778,1.25,1.875,4.83333333333333,1.20833333333333,3.75,1.125,2.125,1.13888888888889
"P03",2.93055555555556,2.97222222222222,1.26388888888889,3.06944444444444,4.59722222222222,1.36111111111111,2.70833333333333,2.16666666666667,1.25,2.09722222222222
"P04",3.75,2.26388888888889,1.11111111111111,1.86111111111111,4.93055555555556,1.06944444444444,3.26388888888889,2.06944444444444,1.125,1.11111111111111
"P05",2.90277777777778,2.72222222222222,2,3.44444444444444,3.73611111111111,1.40277777777778,3.11111111111111,2,2.18055555555556,1.47222222222222
"P06",3.84722222222222,2.01388888888889,1.68055555555556,1.98611111111111,4.13888888888889,1.29166666666667,3.69444444444444,1.77777777777778,2.81944444444444,1.29166666666667
"P07",2.40277777777778,3.15277777777778,1.68055555555556,3.36111111111111,3.56944444444444,1.55555555555556,2.56944444444444,2.55555555555556,1.68055555555556,1.86111111111111
"P08",3.45833333333333,2.375,1.70833333333333,2.02777777777778,4,1.27777777777778,3.29166666666667,2.125,1.75,1.33333333333333
"P09",3.30555555555556,2.69444444444444,1.59722222222222,3.23611111111111,4.23611111111111,1.40277777777778,3.01388888888889,1.95833333333333,1.65277777777778,1.68055555555556
"P10",4.04166666666667,1.95833333333333,1.27777777777778,1.875,4.69444444444444,1.27777777777778,3.65277777777778,1.52777777777778,2.38888888888889,1.26388888888889
"P11",3.06944444444444,2.91666666666667,1.20833333333333,3.15277777777778,4.61111111111111,1.375,2.68055555555556,2.27777777777778,1.20833333333333,2.05555555555556
"P12",3.75,2.27777777777778,1.125,1.88888888888889,4.91666666666667,1.09722222222222,3.36111111111111,2,1.13888888888889,1.22222222222222
"P13",2.76388888888889,2.83333333333333,2.08333333333333,3.70833333333333,3.41666666666667,1.56944444444444,3.02777777777778,2.08333333333333,2.16666666666667,1.56944444444444
"P14",3.83333333333333,2.02777777777778,1.70833333333333,2.01388888888889,4.125,1.29166666666667,3.88888888888889,2.01388888888889,2.70833333333333,1.29166666666667
"P15",2.59722222222222,3.02777777777778,1.70833333333333,3.5,3.56944444444444,1.56944444444444,2.61111111111111,2.625,1.70833333333333,1.80555555555556
"P16",3.375,2.48611111111111,1.69444444444444,2.02777777777778,3.86111111111111,1.30555555555556,3.13888888888889,2.22222222222222,1.69444444444444,1.33333333333333
"P17",2.43055555555556,3.04166666666667,1.58333333333333,3.84722222222222,4.04166666666667,1.26388888888889,2.93055555555556,2.18055555555556,1.58333333333333,1.77777777777778
"P18",3.98611111111111,1.95833333333333,1.29166666666667,1.88888888888889,4.54166666666667,1.13888888888889,4.16666666666667,2.06944444444444,1.80555555555556,1.13888888888889
"P19",2.38888888888889,3.29166666666667,1.36111111111111,3.58333333333333,4.20833333333333,1.45833333333333,2.41666666666667,2.69444444444444,1.36111111111111,2.55555555555556
"P20",3.66666666666667,2.26388888888889,1.26388888888889,1.95833333333333,4.63888888888889,1.06944444444444,3.59722222222222,2.25,1.26388888888889,1.36111111111111
"P21",2.26388888888889,2.91666666666667,2.16666666666667,3.91666666666667,2.80555555555556,1.34722222222222,3.04166666666667,2.59722222222222,2.23611111111111,1.38888888888889
"P22",3.75,2.09722222222222,1.95833333333333,2.05555555555556,4.05555555555556,1.29166666666667,4.08333333333333,2.23611111111111,2.90277777777778,1.34722222222222
"P23",1.93055555555556,3.23611111111111,1.77777777777778,3.75,2.91666666666667,1.47222222222222,2.45833333333333,3.06944444444444,1.76388888888889,1.70833333333333
"P24",2.875,2.5,1.98611111111111,2.01388888888889,3.31944444444444,1.125,3.27777777777778,3.01388888888889,1.98611111111111,1.33333333333333
"P25",2.75,2.98611111111111,1.56944444444444,3.59722222222222,4.05555555555556,1.375,2.80555555555556,2.41666666666667,1.56944444444444,1.875
"P26",3.94444444444444,1.93055555555556,1.375,1.84722222222222,4.47222222222222,1.13888888888889,3.95833333333333,2.20833333333333,1.66666666666667,1.18055555555556
"P27",2.625,2.93055555555556,1.29166666666667,3.61111111111111,4.20833333333333,1.34722222222222,2.375,2.83333333333333,1.29166666666667,2.27777777777778
"P28",3.41666666666667,2.36111111111111,1.16666666666667,1.83333333333333,4.66666666666667,1.04166666666667,3.26388888888889,2.375,1.16666666666667,1.36111111111111
"P29",2.375,2.83333333333333,2.125,3.90277777777778,2.84722222222222,1.36111111111111,3.02777777777778,2.69444444444444,2.18055555555556,1.34722222222222
"P30",3.18055555555556,2.26388888888889,2.45833333333333,2.18055555555556,3.38888888888889,1.18055555555556,3.88888888888889,2.45833333333333,2.97222222222222,1.22222222222222
"P31",2.09722222222222,3.04166666666667,1.79166666666667,3.48611111111111,2.88888888888889,1.44444444444444,2.38888888888889,3.44444444444444,1.77777777777778,1.79166666666667
"P32",2.56944444444444,2.56944444444444,2.05555555555556,1.93055555555556,3.05555555555556,1.09722222222222,2.98611111111111,3.47222222222222,2.04166666666667,1.41666666666667
