"dim1","dim2","id"
-0.289171114502312,-0.170292660142018,"P01"
-0.0599195947653841,-0.181139917959431,"P02"
-0.454922619190453,-0.105990326625162,"P03"
-0.229873955621865,-0.11565363494088,"P04"
-0.254791318410323,-0.208555333628971,"P05"
-0.0442233733918315,-0.216571536780768,"P06"
-0.494117082157379,-0.156277821322204,"P07"
-0.193884870150939,-0.19218984167688,"P08"
-0.306701783128781,-0.153301889013183,"P09"
-0.0947995992313217,-0.153857713915382,"P10"
-0.512485565844923,-0.115254067839837,"P11"
-0.2532621798347,-0.143669782122165,"P12"
-0.18505140944165,-0.219264756060247,"P13"
-0.0470595206021498,-0.204669374657296,"P14"
-0.55409782849011,-0.189115938220156,"P15"
-0.277268195282276,-0.179746321087237,"P16"
-0.30081910300451,-0.183337499566374,"P17"
-0.0342231803336507,-0.221242558604878,"P18"
-0.535800326583032,-0.127751761943579,"P19"
-0.269299484887759,-0.175577228004753,"P20"
-0.246263954900139,-0.402194144426141,"P21"
0.0409419813192877,-0.302810874149941,"P22"
-0.583866239036135,-0.258465428790262,"P23"
-0.187533911593823,-0.252670870220844,"P24"
-0.430132538144984,-0.169334215265807,"P25"
-0.0645668886014148,-0.235150052875333,"P26"
-0.645651728036561,-0.190738577870126,"P27"
-0.29052624708753,-0.159601306282443,"P28"
-0.273936627033489,-0.406815547755739,"P29"
0.0392246124775168,-0.319570338003353,"P30"
-0.607595645628346,-0.267221776205837,"P31"
-0.196539052208385,-0.300776260926008,"P32"
