"","happy","tense","calm","sad","excited","afraid","content","bored","relaxed","angry"
"P01",1.83333333333333,4.41666666666667,1.94444444444444,4.02777777777778,4,1.88888888888889,2.80555555555556,2.30555555555556,2.41666666666667,1.86111111111111
"P02",1.97222222222222,4.25,2.16666666666667,2.77777777777778,3.80555555555556,1.88888888888889,3.05555555555556,2.02777777777778,3.02777777777778,1.88888888888889
"P03",1.63888888888889,4.72222222222222,1.72222222222222,4.05555555555556,4.30555555555556,1.88888888888889,2.36111111111111,2.69444444444444,1.77777777777778,2.30555555555556
"P04",1.94444444444444,4.41666666666667,1.97222222222222,3.11111111111111,4.13888888888889,1.94444444444444,2.80555555555556,2.25,2.36111111111111,1.97222222222222
"P05",1.83333333333333,4.44444444444444,2.02777777777778,4,3.88888888888889,1.83333333333333,2.75,2.33333333333333,2.72222222222222,1.83333333333333
"P06",2,4.22222222222222,2.47222222222222,3,3.75,1.91666666666667,3.05555555555556,2.11111111111111,3.19444444444444,1.91666666666667
"P07",1.63888888888889,4.58333333333333,1.66666666666667,4.02777777777778,3.97222222222222,1.72222222222222,2.25,2.66666666666667,1.75,1.72222222222222
"P08",1.91666666666667,4.27777777777778,2.08333333333333,3,3.75,1.88888888888889,2.63888888888889,2.5,2.44444444444444,1.88888888888889
"P09",1.83333333333333,4.47222222222222,1.91666666666667,3.94444444444444,4.16666666666667,1.88888888888889,2.75,2.33333333333333,2.38888888888889,1.83333333333333
"P10",2,4.16666666666667,2.08333333333333,2.91666666666667,3.94444444444444,1.94444444444444,3,2.08333333333333,2.91666666666667,1.94444444444444
"P11",1.55555555555556,4.66666666666667,1.55555555555556,4.02777777777778,4.36111111111111,1.72222222222222,2.13888888888889,2.72222222222222,1.63888888888889,1.94444444444444
"P12",1.94444444444444,4.5,1.94444444444444,3.22222222222222,4.08333333333333,1.91666666666667,2.75,2.52777777777778,2.41666666666667,1.94444444444444
"P13",1.91666666666667,4.30555555555556,2.19444444444444,4.02777777777778,3.75,1.91666666666667,2.91666666666667,2.25,2.97222222222222,1.91666666666667
"P14",2,4.19444444444444,2.38888888888889,3.11111111111111,3.75,1.97222222222222,3.02777777777778,2.05555555555556,3.27777777777778,1.97222222222222
"P15",1.47222222222222,4.66666666666667,1.55555555555556,4,3.88888888888889,1.58333333333333,1.83333333333333,2.83333333333333,1.66666666666667,1.52777777777778
"P16",1.77777777777778,4.36111111111111,1.86111111111111,3.19444444444444,3.80555555555556,1.77777777777778,2.55555555555556,2.47222222222222,2.16666666666667,1.77777777777778
"P17",1.83333333333333,4.5,2.02777777777778,4.05555555555556,4.13888888888889,1.83333333333333,2.72222222222222,2.44444444444444,2.5,1.83333333333333
"P18",2,4.22222222222222,2.36111111111111,2.83333333333333,3.83333333333333,1.80555555555556,3.08333333333333,2.13888888888889,3.27777777777778,1.80555555555556
"P19",1.47222222222222,4.75,1.55555555555556,4,4.22222222222222,1.52777777777778,1.97222222222222,2.94444444444444,1.55555555555556,2.30555555555556
"P20",1.83333333333333,4.44444444444444,1.94444444444444,2.91666666666667,4.08333333333333,1.83333333333333,2.47222222222222,2.86111111111111,2.38888888888889,1.83333333333333
"P21",1.63888888888889,4.5,2.19444444444444,4.05555555555556,2.30555555555556,1.63888888888889,2.61111111111111,2.72222222222222,2.72222222222222,1.63888888888889
"P22",2,4,2.58333333333333,2.80555555555556,3.33333333333333,1.72222222222222,3.08333333333333,2.30555555555556,3.55555555555556,1.72222222222222
"P23",1.38888888888889,4.61111111111111,1.58333333333333,4,3.30555555555556,1.41666666666667,1.75,3,1.58333333333333,1.41666666666667
"P24",1.86111111111111,4.36111111111111,2.16666666666667,3,3.80555555555556,1.80555555555556,2.72222222222222,3.02777777777778,2.80555555555556,1.80555555555556
"P25",1.72222222222222,4.55555555555556,1.80555555555556,4.05555555555556,4.02777777777778,1.75,2.58333333333333,2.77777777777778,1.94444444444444,1.75
"P26",2,4.11111111111111,2.30555555555556,2.83333333333333,3.97222222222222,1.69444444444444,2.97222222222222,2.41666666666667,3.22222222222222,1.75
"P27",1.22222222222222,4.80555555555556,1.33333333333333,4.02777777777778,4.11111111111111,1.25,1.41666666666667,3.08333333333333,1.33333333333333,1.5
"P28",1.86111111111111,4.33333333333333,1.88888888888889,2.75,4.16666666666667,1.75,2.41666666666667,3.02777777777778,2.19444444444444,1.80555555555556
"P29",1.66666666666667,4.38888888888889,2.16666666666667,4.08333333333333,2.44444444444444,1.66666666666667,2.44444444444444,2.97222222222222,2.75,1.66666666666667
"P30",2,3.91666666666667,2.58333333333333,2.88888888888889,3.33333333333333,1.63888888888889,3.11111111111111,2.36111111111111,3.55555555555556,1.63888888888889
"P31",1.38888888888889,4.66666666666667,1.5,4.05555555555556,3.47222222222222,1.38888888888889,1.61111111111111,3.36111111111111,1.52777777777778,1.38888888888889
"P32",1.88888888888889,4.22222222222222,2.22222222222222,3.11111111111111,3.61111111111111,1.77777777777778,2.58333333333333,3.33333333333333,2.83333333333333,1.80555555555556
