"","happy","tense","calm","sad","excited","afraid","content","bored","relaxed","angry"
"P01",2.38888888888889,3.11111111111111,2.16666666666667,3.41666666666667,3.61111111111111,1.52777777777778,3.08333333333333,1.63888888888889,2.30555555555556,1.52777777777778
"P02",3.38888888888889,2.58333333333333,1.72222222222222,2.52777777777778,4.13888888888889,1.41666666666667,3.61111111111111,1.33333333333333,2.36111111111111,1.41666666666667
"P03",2.05555555555556,3.36111111111111,1.66666666666667,3.5,3.52777777777778,1.47222222222222,2.47222222222222,2.47222222222222,1.66666666666667,2.02777777777778
"P04",3.02777777777778,2.97222222222222,1.30555555555556,2.58333333333333,4.5,1.22222222222222,3.27777777777778,2.08333333333333,1.41666666666667,1.33333333333333
"P05",2.41666666666667,3.02777777777778,2.63888888888889,3.91666666666667,2.94444444444444,1.63888888888889,3.38888888888889,2,2.77777777777778,1.77777777777778
"P06",3.05555555555556,2.77777777777778,2.5,2.72222222222222,3.36111111111111,1.5,3.66666666666667,1.69444444444444,3.08333333333333,1.5
"P07",1.88888888888889,3.25,2.13888888888889,3.69444444444444,2.61111111111111,1.66666666666667,2.36111111111111,2.75,2.16666666666667,1.55555555555556
"P08",2.36111111111111,3,2.44444444444444,2.91666666666667,2.91666666666667,1.36111111111111,3.02777777777778,2.36111111111111,2.44444444444444,1.47222222222222
"P09",2.41666666666667,3.08333333333333,2,3.47222222222222,3.58333333333333,1.5,2.91666666666667,1.91666666666667,2.02777777777778,1.55555555555556
"P10",3.44444444444444,2.55555555555556,1.72222222222222,2.52777777777778,4.05555555555556,1.47222222222222,3.55555555555556,1.88888888888889,2.77777777777778,1.47222222222222
"P11",2.44444444444444,3.22222222222222,1.80555555555556,3.55555555555556,3.72222222222222,1.58333333333333,2.75,2.25,1.80555555555556,2.19444444444444
"P12",3.13888888888889,2.83333333333333,1.36111111111111,2.52777777777778,4.44444444444444,1.25,3.25,2.16666666666667,1.36111111111111,1.27777777777778
"P13",2.38888888888889,3.02777777777778,2.33333333333333,4,2.91666666666667,1.69444444444444,3.25,2.16666666666667,2.61111111111111,1.61111111111111
"P14",3,2.83333333333333,2.58333333333333,2.80555555555556,3.38888888888889,1.5,3.61111111111111,1.88888888888889,3.16666666666667,1.5
"P15",1.97222222222222,3.19444444444444,2.02777777777778,3.75,2.5,1.75,2.47222222222222,2.66666666666667,2.02777777777778,1.38888888888889
"P16",2.41666666666667,3,2.38888888888889,2.97222222222222,2.91666666666667,1.41666666666667,3.11111111111111,2.41666666666667,2.38888888888889,1.47222222222222
"P17",1.86111111111111,3.25,2.16666666666667,3.77777777777778,2.94444444444444,1.22222222222222,2.94444444444444,2.44444444444444,2.16666666666667,1.44444444444444
"P18",3.38888888888889,2.55555555555556,1.75,2.55555555555556,3.86111111111111,1.38888888888889,3.91666666666667,2.11111111111111,2.52777777777778,1.44444444444444
"P19",1.80555555555556,3.38888888888889,1.66666666666667,3.52777777777778,3.08333333333333,1.36111111111111,2.22222222222222,2.94444444444444,1.63888888888889,2.16666666666667
"P20",2.88888888888889,2.80555555555556,1.61111111111111,2.58333333333333,3.88888888888889,1.13888888888889,3.36111111111111,2.55555555555556,1.61111111111111,1.47222222222222
"P21",1.63888888888889,3.13888888888889,2.47222222222222,4,2.16666666666667,1.19444444444444,3.11111111111111,2.75,2.77777777777778,1.19444444444444
"P22",2.72222222222222,2.86111111111111,3,2.86111111111111,3.11111111111111,1.47222222222222,3.61111111111111,2.16666666666667,3.52777777777778,1.52777777777778
"P23",1.5,3.38888888888889,2.36111111111111,3.83333333333333,2.30555555555556,1.52777777777778,2.47222222222222,3.27777777777778,2.33333333333333,1.41666666666667
"P24",1.94444444444444,3,2.61111111111111,2.86111111111111,2.47222222222222,1.02777777777778,3.27777777777778,2.77777777777778,2.61111111111111,1.33333333333333
"P25",2.13888888888889,3.05555555555556,1.88888888888889,3.61111111111111,3.27777777777778,1.36111111111111,2.80555555555556,2.47222222222222,1.88888888888889,1.5
"P26",3.33333333333333,2.52777777777778,1.63888888888889,2.5,3.91666666666667,1.19444444444444,3.80555555555556,2.19444444444444,2.16666666666667,1.22222222222222
"P27",2,3.30555555555556,1.5,3.52777777777778,3.27777777777778,1.30555555555556,2.25,2.77777777777778,1.5,2.05555555555556
"P28",2.11111111111111,3.19444444444444,1.63888888888889,2.63888888888889,3.61111111111111,1.08333333333333,2.77777777777778,2.83333333333333,1.63888888888889,1.55555555555556
"P29",1.88888888888889,3.05555555555556,2.5,3.97222222222222,2.30555555555556,1.25,3.36111111111111,2.72222222222222,2.58333333333333,1.19444444444444
"P30",2.33333333333333,2.91666666666667,3.30555555555556,2.94444444444444,2.66666666666667,1.30555555555556,3.5,2.66666666666667,3.72222222222222,1.38888888888889
"P31",1.58333333333333,3.30555555555556,2.11111111111111,3.69444444444444,2.19444444444444,1.61111111111111,2.36111111111111,3.38888888888889,2.08333333333333,1.61111111111111
"P32",1.83333333333333,3.02777777777778,2.41666666666667,2.80555555555556,2.25,1.02777777777778,2.97222222222222,3.30555555555556,2.41666666666667,1.36111111111111
