brief,run,quadrant,target_v,target_a,nonopt_B_v,nonopt_B_a,nonopt_B_dist,nonopt_A_dist,opt_B_v,opt_B_a,opt_B_dist,opt_A_dist,B_reduction,A_reduction
B01,0,HV_HA,0.075,0.08,0.065,0.095,0.0184,0.1701,0.074,0.12,0.0398,0.0711,-0.0214,0.099
B01,1,HV_HA,0.075,0.08,0.051,0.08,0.0236,0.3164,0.045,0.091,0.0321,0.2968,-0.0085,0.0196
B01,2,HV_HA,0.075,0.08,0.051,0.08,0.0236,0.3164,0.045,0.097,0.0347,0.1384,-0.0111,0.178
B02,0,HV_HA,0.102,0.056,0.043,0.082,0.0646,0.2184,0.044,0.097,0.0707,0.155,-0.0061,0.0634
B02,1,HV_HA,0.102,0.056,0.043,0.082,0.0646,0.2184,0.046,0.1,0.0708,0.0834,-0.0062,0.135
B02,2,HV_HA,0.102,0.056,0.045,0.082,0.0629,0.2283,0.044,0.097,0.0707,0.155,-0.0078,0.0733
B03,0,HV_HA,0.061,0.099,0.064,0.109,0.01,0.1338,0.073,0.101,0.0119,0.103,-0.0019,0.0308
B03,1,HV_HA,0.061,0.099,0.064,0.109,0.01,0.1338,0.073,0.101,0.0119,0.103,-0.0019,0.0308
B03,2,HV_HA,0.061,0.099,0.064,0.109,0.01,0.1338,0.073,0.101,0.0119,0.103,-0.0019,0.0308
B04,0,HV_HA,0.089,0.074,0.045,0.082,0.045,0.2359,0.045,0.099,0.0507,0.0675,-0.0057,0.1684
B04,1,HV_HA,0.089,0.074,0.045,0.082,0.045,0.2359,0.044,0.097,0.0504,0.1614,-0.0054,0.0745
B04,2,HV_HA,0.089,0.074,0.045,0.082,0.045,0.2359,0.044,0.097,0.0502,0.1625,-0.0052,0.0734
B05,0,LV_HA,-0.098,0.08,0.059,0.086,0.1568,0.1665,0.059,0.086,0.1568,0.1665,0.0,0.0
B05,1,LV_HA,-0.098,0.08,0.059,0.086,0.1568,0.1665,0.059,0.086,0.1568,0.1665,0.0,0.0
B05,2,LV_HA,-0.098,0.08,0.076,0.108,0.1761,0.1312,0.072,0.085,0.1702,0.1301,0.0059,0.0011
B06,0,LV_HA,-0.134,0.056,0.044,0.097,0.1824,0.2487,0.044,0.097,0.1824,0.2487,0.0,0.0
B06,1,LV_HA,-0.134,0.056,0.044,0.094,0.1816,0.2054,0.044,0.098,0.183,0.1988,-0.0014,0.0066
B06,2,LV_HA,-0.134,0.056,0.026,0.07,0.1607,0.2254,0.026,0.07,0.1607,0.2254,0.0,0.0
B07,0,LV_HA,-0.08,0.099,0.076,0.108,0.1561,0.1377,0.076,0.108,0.1561,0.1377,0.0,0.0
B07,1,LV_HA,-0.08,0.099,0.072,0.115,0.1526,0.1452,0.072,0.115,0.1526,0.1452,0.0,0.0
B07,2,LV_HA,-0.08,0.099,0.048,0.084,0.1285,0.2798,0.046,0.096,0.126,0.269,0.0025,0.0108
B08,0,LV_HA,-0.116,0.074,0.059,0.086,0.1751,0.1707,0.059,0.086,0.1751,0.1707,0.0,0.0
B08,1,LV_HA,-0.116,0.074,0.059,0.086,0.1751,0.1707,0.06,0.083,0.1758,0.1677,-0.0007,0.003
B08,2,LV_HA,-0.116,0.074,0.059,0.086,0.1751,0.1707,0.013,0.046,0.1319,0.163,0.0432,0.0077
B09,0,LV_LA,-0.098,-0.191,0.039,0.093,0.3154,0.1245,0.039,0.093,0.3154,0.1245,0.0,0.0
B09,1,LV_LA,-0.098,-0.191,0.039,0.093,0.3154,0.1245,0.039,0.093,0.3154,0.1245,0.0,0.0
B09,2,LV_LA,-0.098,-0.191,0.039,0.093,0.3154,0.1245,0.039,0.093,0.3154,0.1245,0.0,0.0
B10,0,LV_LA,-0.134,-0.122,0.046,0.091,0.2791,0.0816,0.046,0.091,0.2791,0.0816,0.0,0.0
B10,1,LV_LA,-0.134,-0.122,0.046,0.091,0.2791,0.0816,0.046,0.091,0.2791,0.0816,0.0,0.0
B10,2,LV_LA,-0.134,-0.122,0.047,0.094,0.2815,0.099,0.047,0.094,0.2815,0.099,0.0,0.0
B11,0,LV_LA,-0.071,-0.261,0.038,0.092,0.3696,0.0893,0.038,0.092,0.3696,0.0893,0.0,0.0
B11,1,LV_LA,-0.071,-0.261,0.037,0.087,0.3641,0.1989,0.04,0.08,0.3587,0.1956,0.0054,0.0033
B11,2,LV_LA,-0.071,-0.261,0.025,0.067,0.3421,0.1307,0.025,0.067,0.3421,0.1307,0.0,0.0
B12,0,LV_LA,-0.107,-0.208,0.043,0.093,0.3361,0.0164,0.043,0.093,0.3361,0.0164,0.0,0.0
B12,1,LV_LA,-0.107,-0.208,0.043,0.097,0.3398,0.114,0.043,0.097,0.3398,0.114,0.0,0.0
B12,2,LV_LA,-0.107,-0.208,0.045,0.095,0.3389,0.1007,0.045,0.095,0.3389,0.1007,0.0,0.0
B13,0,HV_LA,0.075,-0.191,0.041,0.09,0.2826,0.2455,0.046,0.089,0.2816,0.1129,0.001,0.1326
B13,1,HV_LA,0.075,-0.191,0.043,0.09,0.2827,0.1705,0.046,0.078,0.2707,0.1388,0.012,0.0317
B13,2,HV_LA,0.075,-0.191,0.043,0.093,0.2856,0.1671,0.046,0.084,0.2765,0.1449,0.0091,0.0222
B14,0,HV_LA,0.102,-0.122,0.045,0.093,0.2224,0.1606,0.045,0.083,0.2128,0.0723,0.0096,0.0883
B14,1,HV_LA,0.102,-0.122,0.05,0.085,0.2134,0.1343,0.047,0.09,0.2194,0.1172,-0.006,0.0171
B14,2,HV_LA,0.102,-0.122,0.045,0.093,0.2224,0.1606,0.045,0.093,0.2224,0.1606,0.0,0.0
B15,0,HV_LA,0.054,-0.261,0.045,0.095,0.356,0.1849,0.046,0.091,0.3525,0.1443,0.0035,0.0406
