brief,run,quadrant,target_v,target_a,nonopt_B_v,nonopt_B_a,nonopt_B_dist,nonopt_A_dist,opt_B_v,opt_B_a,opt_B_dist,opt_A_dist,B_reduction,A_reduction
B01,0,HV_HA,0.172,0.175,0.059,-0.117,0.3133,0.3133,0.188,0.152,0.0276,0.0276,0.2857,0.2857
B01,1,HV_HA,0.172,0.175,0.12,0.044,0.141,0.141,0.12,0.044,0.141,0.141,0.0,0.0
B01,2,HV_HA,0.172,0.175,0.227,0.212,0.0663,0.0663,0.227,0.212,0.0663,0.0663,0.0,0.0
B02,0,HV_HA,0.234,0.121,0.011,0.015,0.2469,0.2469,0.092,0.125,0.1419,0.1419,0.105,0.105
B02,1,HV_HA,0.234,0.121,-0.087,-0.22,0.4678,0.4678,0.252,0.143,0.0284,0.0284,0.4394,0.4394
B02,2,HV_HA,0.234,0.121,-0.038,0.02,0.2904,0.2904,0.214,0.269,0.1492,0.1492,0.1412,0.1412
B03,0,HV_HA,0.141,0.215,0.137,0.09,0.1247,0.1247,0.137,0.09,0.1247,0.1247,0.0,0.0
B03,1,HV_HA,0.141,0.215,0.219,0.239,0.0812,0.0812,0.219,0.239,0.0812,0.0812,0.0,0.0
B03,2,HV_HA,0.141,0.215,0.26,0.233,0.1204,0.1204,0.26,0.233,0.1204,0.1204,0.0,0.0
B04,0,HV_HA,0.203,0.161,-0.014,-0.127,0.3601,0.3601,0.134,0.17,0.07,0.07,0.2901,0.2901
B04,1,HV_HA,0.203,0.161,-0.11,-0.089,0.4006,0.4006,0.179,0.133,0.0368,0.0368,0.3638,0.3638
B04,2,HV_HA,0.203,0.161,-0.038,0.02,0.2794,0.2794,0.267,0.196,0.0727,0.0727,0.2067,0.2067
B05,0,LV_HA,-0.171,0.175,0.279,0.301,0.4677,0.4677,-0.033,0.157,0.1388,0.1388,0.3289,0.3289
B05,1,LV_HA,-0.171,0.175,0.114,0.112,0.2923,0.2923,-0.063,0.103,0.1292,0.1292,0.1631,0.1631
B05,2,LV_HA,-0.171,0.175,0.114,0.112,0.2923,0.2923,-0.094,0.096,0.1104,0.1104,0.1819,0.1819
B06,0,LV_HA,-0.233,0.121,0.161,-0.046,0.428,0.428,-0.006,0.012,0.2522,0.2522,0.1758,0.1758
B06,1,LV_HA,-0.233,0.121,0.161,-0.046,0.428,0.428,-0.077,-0.064,0.2426,0.2426,0.1854,0.1854
B06,2,LV_HA,-0.233,0.121,0.134,-0.016,0.3915,0.3915,-0.108,0.041,0.1486,0.1486,0.2429,0.2429
B07,0,LV_HA,-0.14,0.215,0.047,-0.057,0.3299,0.3299,-0.064,0.088,0.1474,0.1474,0.1825,0.1825
B07,1,LV_HA,-0.14,0.215,0.121,0.077,0.2955,0.2955,-0.015,0.136,0.1484,0.1484,0.1471,0.1471
