brief,run,quadrant,target_v,target_a,nonopt_B_v,nonopt_B_a,nonopt_B_dist,nonopt_A_dist,opt_B_v,opt_B_a,opt_B_dist,opt_A_dist,B_reduction,A_reduction
B01,0,HV_HA,0.075,0.08,0.509,0.023,0.438,0.1701,0.589,0.203,0.5285,0.0711,-0.0905,0.099
B01,1,HV_HA,0.075,0.08,0.472,-0.264,0.525,0.3164,0.433,-0.293,0.5172,0.2968,0.0078,0.0196
B01,2,HV_HA,0.075,0.08,0.472,-0.264,0.525,0.3164,0.087,-0.362,0.4425,0.1384,0.0825,0.178
B02,0,HV_HA,0.102,0.056,0.496,-0.302,0.5324,0.2184,0.07,-0.339,0.3967,0.155,0.1357,0.0634
B02,1,HV_HA,0.102,0.056,0.496,-0.302,0.5324,0.2184,0.09,-0.217,0.2734,0.0834,0.259,0.135
B02,2,HV_HA,0.102,0.056,0.56,-0.207,0.5281,0.2283,0.07,-0.339,0.3967,0.155,0.1314,0.0733
B03,0,HV_HA,0.061,0.099,0.508,0.043,0.4504,0.1338,0.509,0.066,0.4489,0.103,0.0015,0.0308
B03,1,HV_HA,0.061,0.099,0.508,0.043,0.4504,0.1338,0.509,0.066,0.4489,0.103,0.0015,0.0308
B03,2,HV_HA,0.061,0.099,0.508,0.043,0.4504,0.1338,0.509,0.066,0.4489,0.103,0.0015,0.0308
B04,0,HV_HA,0.089,0.074,0.56,-0.207,0.5484,0.2359,0.092,-0.223,0.297,0.0675,0.2514,0.1684
B04,1,HV_HA,0.089,0.074,0.56,-0.207,0.5484,0.2359,0.048,-0.325,0.401,0.1614,0.1474,0.0745
B04,2,HV_HA,0.089,0.074,0.56,-0.207,0.5484,0.2359,0.07,-0.339,0.4139,0.1625,0.1345,0.0734
B05,0,LV_HA,-0.098,0.08,0.229,-0.183,0.4197,0.1665,0.229,-0.183,0.4197,0.1665,0.0,0.0
B05,1,LV_HA,-0.098,0.08,0.229,-0.183,0.4197,0.1665,0.229,-0.183,0.4197,0.1665,0.0,0.0
B05,2,LV_HA,-0.098,0.08,0.479,0.038,0.5782,0.1312,0.43,-0.023,0.5383,0.1301,0.0399,0.0011
B06,0,LV_HA,-0.134,0.056,0.227,-0.12,0.4019,0.2487,0.227,-0.12,0.4019,0.2487,0.0,0.0
B06,1,LV_HA,-0.134,0.056,0.249,-0.087,0.4091,0.2054,0.253,-0.094,0.4145,0.1988,-0.0054,0.0066
B06,2,LV_HA,-0.134,0.056,0.135,-0.463,0.5846,0.2254,0.135,-0.463,0.5846,0.2254,0.0,0.0
B07,0,LV_HA,-0.08,0.099,0.479,0.038,0.562,0.1377,0.479,0.038,0.562,0.1377,0.0,0.0
B07,1,LV_HA,-0.08,0.099,0.624,0.261,0.7227,0.1452,0.624,0.261,0.7227,0.1452,0.0,0.0
B07,2,LV_HA,-0.08,0.099,0.493,-0.238,0.6644,0.2798,0.028,-0.427,0.5375,0.269,0.1269,0.0108
B08,0,LV_HA,-0.116,0.074,0.229,-0.183,0.4302,0.1707,0.229,-0.183,0.4302,0.1707,0.0,0.0
B08,1,LV_HA,-0.116,0.074,0.229,-0.183,0.4302,0.1707,0.265,-0.199,0.4686,0.1677,-0.0384,0.003
B08,2,LV_HA,-0.116,0.074,0.229,-0.183,0.4302,0.1707,0.113,-0.181,0.3426,0.163,0.0876,0.0077
B09,0,LV_LA,-0.098,-0.191,0.283,-0.267,0.3885,0.1245,0.283,-0.267,0.3885,0.1245,0.0,0.0
B09,1,LV_LA,-0.098,-0.191,0.283,-0.267,0.3885,0.1245,0.283,-0.267,0.3885,0.1245,0.0,0.0
B09,2,LV_LA,-0.098,-0.191,0.283,-0.267,0.3885,0.1245,0.283,-0.267,0.3885,0.1245,0.0,0.0
B10,0,LV_LA,-0.134,-0.122,0.519,-0.208,0.6584,0.0816,0.519,-0.208,0.6584,0.0816,0.0,0.0
B10,1,LV_LA,-0.134,-0.122,0.519,-0.208,0.6584,0.0816,0.519,-0.208,0.6584,0.0816,0.0,0.0
B10,2,LV_LA,-0.134,-0.122,0.523,-0.208,0.6624,0.099,0.523,-0.208,0.6624,0.099,0.0,0.0
B11,0,LV_LA,-0.071,-0.261,0.118,-0.562,0.3555,0.0893,0.118,-0.562,0.3555,0.0893,0.0,0.0
B11,1,LV_LA,-0.071,-0.261,0.276,-0.144,0.3666,0.1989,0.117,-0.236,0.1898,0.1956,0.1768,0.0033
B11,2,LV_LA,-0.071,-0.261,0.017,-0.532,0.2845,0.1307,0.017,-0.532,0.2845,0.1307,0.0,0.0
B12,0,LV_LA,-0.107,-0.208,-0.119,-0.66,0.4526,0.0164,-0.119,-0.66,0.4526,0.0164,0.0,0.0
B12,1,LV_LA,-0.107,-0.208,-0.071,-0.235,0.0451,0.114,-0.071,-0.235,0.0451,0.114,0.0,0.0
B12,2,LV_LA,-0.107,-0.208,-0.143,-0.721,0.5142,0.1007,-0.143,-0.721,0.5142,0.1007,0.0,0.0
B13,0,HV_LA,0.075,-0.191,0.133,-0.695,0.5078,0.2455,0.044,-0.414,0.2254,0.1129,0.2824,0.1326
B13,1,HV_LA,0.075,-0.191,-0.052,-0.735,0.5587,0.1705,0.091,-0.195,0.0167,0.1388,0.542,0.0317
B13,2,HV_LA,0.075,-0.191,-0.119,-0.66,0.5078,0.1671,0.022,-0.417,0.2327,0.1449,0.2751,0.0222
B14,0,HV_LA,0.102,-0.122,0.007,-0.549,0.4373,0.1606,0.077,-0.21,0.0918,0.0723,0.3455,0.0883
B14,1,HV_LA,0.102,-0.122,0.095,-0.666,0.5444,0.1343,0.004,-0.23,0.1456,0.1172,0.3988,0.0171
B14,2,HV_LA,0.102,-0.122,0.007,-0.549,0.4373,0.1606,0.007,-0.549,0.4373,0.1606,0.0,0.0
B15,0,HV_LA,0.054,-0.261,-0.143,-0.721,0.5005,0.1849,-0.037,-0.491,0.2469,0.1443,0.2536,0.0406
B15,1,HV_LA,0.054,-0.261,-0.143,-0.721,0.5005,0.1849,0.212,-0.313,0.1658,0.1508,0.3347,0.0341
B15,2,HV_LA,0.054,-0.261,-0.053,-0.698,0.4502,0.188,0.064,-0.462,0.2015,0.1473,0.2487,0.0407
B16,0,HV_LA,0.082,-0.208,0.133,-0.695,0.4901,0.247,0.185,-0.293,0.1335,0.1375,0.3566,0.1095
B16,1,HV_LA,0.082,-0.208,0.007,-0.549,0.3491,0.1272,0.007,-0.549,0.3491,0.1272,0.0,0.0
B16,2,HV_LA,0.082,-0.208,0.194,-0.603,0.4104,0.3452,0.115,-0.458,0.2517,0.2034,0.1587,0.1418
