agent_kind,persona_id,openness,conscientiousness,extraversion,agreeableness,neuroticism,stimulus_file,brief,condition,target_v,target_a,stimulus_sha256,audience_protocol_sha256,rep,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,perceived_v,perceived_a
ocean,P18,low,high,high,high,low,B12_run2_nonopt.wav,B12,non_optimised,-0.187,-0.292,187b20c186a3dc78d7f16f9a15bbd8cde4fc4abe99fe53b7a16cc5f6213c21d1,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,0,5,5,2,4,3,4,3,2,3,2,4,2,0.0,0.0
ocean,P31,low,low,low,low,high,B16_run0_opt.wav,B16,optimised,0.187,-0.292,2f80b03cf646778f367079970e508ecda2590c0637a9f0a1fc3b8d245553ec5a,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,2,4,5,2,4,2,4,3,2,2,3,2,2,-0.25,0.0
ocean,P30,low,low,low,high,low,B15_run0_nonopt.wav,B15,non_optimised,0.125,-0.365,06c735ab2303976a18d9207675618db4fc99c95cf0ac41cc9edb2330a6cb534e,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,2,5,5,2,3,4,2,3,1,4,3,4,1,0.0,0.0
ocean,P01,high,high,high,high,high,B12_run1_opt.wav,B12,optimised,-0.187,-0.292,187b20c186a3dc78d7f16f9a15bbd8cde4fc4abe99fe53b7a16cc5f6213c21d1,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,0,4,4,2,4,2,4,2,2,2,4,2,2,-0.25,-0.25
ocean,P30,low,low,low,high,low,B01_run1_nonopt.wav,B01,non_optimised,0.172,0.175,d7e7abab4fa1ebecce1e0cbc198f9105aa31f98471e224c9015709dff3f67010,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,0,5,5,3,2,4,2,3,1,4,2,4,1,0.0,0.0
ocean,P03,high,high,high,low,high,B07_run2_nonopt.wav,B07,non_optimised,-0.14,0.215,075917bf66e641dcd311ddaf01a90fcebeb31855c278e477efc42f89dcf6726f,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,0,4,6,2,4,2,4,3,2,2,3,2,2,-0.25,0.25
ocean,P10,high,low,high,high,low,B12_run2_opt.wav,B12,optimised,-0.187,-0.292,187b20c186a3dc78d7f16f9a15bbd8cde4fc4abe99fe53b7a16cc5f6213c21d1,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,1,5,5,2,4,3,4,3,2,3,2,4,2,0.0,0.0
ocean,P03,high,high,high,low,high,B07_run0_opt.wav,B07,optimised,-0.14,0.215,70cffd0a49cbae2ddd29ce675a9306a595361e70345343fbbe99843d7aa68de2,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,0,4,9,2,5,2,4,5,2,3,2,2,3,-0.25,1.0
generic,generic,,,,,,B01_run0_nonopt.wav,B01,non_optimised,0.172,0.175,c1f8adca32375a49d78b04c0760d69939c073c7eb53c8a570bc9ce7710f764ae,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,2,6,8,4,3,2,2,5,2,3,2,3,2,0.25,0.75
ocean,P24,low,high,low,low,low,B14_run0_nonopt.wav,B14,non_optimised,0.234,-0.17,7cb997ad81c5ece90087fc7f2d51dc5e145aa3105afdf92f9fe7c47783410e72,d5fadd934381a860162d07d403dcb538703aa8989c87f149bbb36914014079ad,0,5,5,2,3,3,2,3,2,3,4,4,2,0.0,0.0
